Dossiernummer;Projectcode;Dossier datum aanvraag;Dossier dienst;Dossiertype;Dossier districten;Dossier cluster;Dossier onderwerp;Aard der werken;Bouwheer;Dossierverantwoordelijke voornaam + naam;Ontwerper voornaam + naam;Ingenieur voornaam + naam;Partners;Beleidsdoelstellingen;Dossier extra kenmerk;Totaal raming intern;Dossier status;Dossier toestand;Dossier klasse;Dossier actieve fases;Status planning;Actief planningsblok;Meerjarenplanning?;Jaartal meerjarenplanning;Klasse ontwerp;Subklasse ontwerp;Geplande startdatum ontwerp;Geplande einddatum ontwerp;Effectieve einddatum ontwerp;Klasse gunning;Subklasse gunning;Geplande startdatum Gunning;Geplande einddatum Gunning;Effectieve einddatum Gunning;Geplande startdatum Werf;Effectieve startdatum werf;Geplande einddatum Werf;Effectieve einddatum Werf;Dossier einddatum;Sperperiode?;Einddatum sperperiode;URL A-stad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10016;;09-05-2012;Publieke Ruimte;Investeringsproject;Wilrijk;Zuid;Vuurmolenstraat (onderhoud);Tekenopdracht;STAD ANTWERPEN DISTRICT WILRIJK;Patrick Cuyvers;Pieter-Jan Bruynseels;Jens Van Damme;STAD ANTWERPEN DISTRICT WILRIJK;;PRIORITEIT UITVOERING 2013;;Plandatum overschreden;Stopgezet;Intern ontwerp - Extra Small (oud);Definitief ontwerp;In bewerking;Uitvoering;Ja;2014;Intern;Extra small;15-07-2013;02-11-2013;09-01-2014;Geen;Geen;;;;10-03-2014;;15-03-2014;;30-04-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10017;P03136;09-05-2012;Publieke Ruimte;Investeringsproject;Wilrijk;Zuid;Koornbloemstraat (onderhoud);Tekenopdracht;DISTRICT WILRIJK ;Patrick Cuyvers;Pieter-Jan Bruynseels;Kristel Drubbel;DISTRICT WILRIJK ;district Wilrijk,1SWI01,1SWI0101,1SWI010101;PRIORITEIT UITVOERING 2014;;Plandatum overschreden;In wacht;Intern ontwerp - Extra Small (oud);Definitief ontwerp;In bewerking;Ontwerp;Ja;2014;Intern;Extra small;16-01-2013;01-07-2014;;Geen;Geen;;;;23-11-2014;;28-11-2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10020;M00002;11-05-2012;Publieke Ruimte;Investeringsproject;Berchem;Zuid;Gitschotellei;Tekenopdracht, Wegeniswerken;;;Sara Franceschi;Julie Weyts;STAD ANTWERPEN DISTRICT BERCHEM;ondernemen en stadsmarketing,1SLW05,1SLW0503,1SLW050303;;;Plandatum overschreden;Stopgezet;Intern ontwerp - Extra Small (oud);Definitief ontwerp;;;;;;;;;;;;;;;;;;;05-04-2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10021;;11-05-2012;Publieke Ruimte;Investeringsproject;Berchem;Zuid;Beernaertstraat (stoepenplan);Wegeniswerken;STAD ANTWERPEN GEMEENTE;Ann Bruyninckx;Sara Franceschi;Julie Weyts;DISTRICT BERCHEM , STAD ANTWERPEN GEMEENTE;;;;Op Schema;Afgesloten;Uitvoering intern;;;;;;;;;;;;;;;;;;;;21-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10023;P05223;11-05-2012;Publieke Ruimte;Investeringsproject;Berchem;Zuid;Arbeidersstraat, Florent Cootmansplein, Groenenhoekstraat, Lambert Briesstraat, Spoorwegstraat, Woningenstraat;Aanleg speelterrein, Aanleg verlichting, Bodemonderzoek, Externe studieopdracht archeologie, Rioleringswerken, Rioleringswerken, Rioleringswerken, Rioleringswerken, Sondering, Veiligheidscoördinator ontwerp, Veiligheidscoördinator verwezenlijking, Wegeniswerken;DISTRICT BERCHEM ;Kenneth Willockx;Pascale Maes;Bart Tuerlinckx;ABO NV, DISTRICT BERCHEM , EANDIS SYSTEM OPERATOR CVBA, RENOTEC NV, RIO-LINK NV;district Berchem,1SBE02,1SBE0204,1SBE020402/ District Berchem,2BER01,2BER0102,2BER010201/ stadsontwikkeling,1SWN05,1SWN0503,1SWN050304/ stadsontwikkeling,1SWN05,1SWN0503,1SWN050305;PRIORITEIT UITVOERING 2017;1.779.595,00;Plandatum overschreden;Lopend;Uitvoering intern;Natraject;Voltooid;Sperperiode;Ja;2017;Intern;Medium;01-01-2015;28-06-2016;06-07-2016;Intern;Open aanbesteding;02-01-2017;18-10-2017;18-10-2017;22-05-2018;21-05-2018;13-11-2019;18-11-2019;;Ja;18-11-2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10024;;11-05-2012;Publieke Ruimte;Investeringsproject;Berchem;Zuid;Arbeidersstraat, Posthofbrug, Roderveldlaan, Veldekens (kruispunt);Wegeniswerken;;Ann Bruyninckx;Emmy Camps;Julie Weyts;DISTRICT BERCHEM ;;;;Op Schema;Afgesloten;Uitvoering intern;;;;;;;;;;;;;;;;;;;;19-10-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10025;;11-05-2012;Publieke Ruimte;Investeringsproject;Berchem;Zuid;Bindstraat, Ferdinand Coosemansstraat, Walemstraat;Rioleringswerken, Wegeniswerken;;;Emmy Camps;Julie Weyts;AQUAFIN, GRONTMIJ VLAANDEREN, STAD ANTWERPEN DISTRICT BERCHEM;;PRIORITEIT UITVOERING 2019;;Op Schema;Stopgezet;Intake;Intake;;;;;;;;;;;;;;;;;;;16-05-2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10027;;29-05-2012;Publieke Ruimte;Investeringsproject;Berendrecht-Zandvliet-Lillo;Noord;Dominicanenstraat (skatepark);Aanleg speelterrein, Aanleg sportterrein, Aanleg verlichting, Wegeniswerken, Wegeniswerken, Wegeniswerken, Wegeniswerken;;Peter De Pauw;Paule O'Kelly de Galway;Peter De Pauw;DISTRICT BERENDRECHT-ZANDVLIET-LILLO ;;;;Op Schema;Afgesloten;Uitvoering intern;;;;;;;;;;;;;;;;;;;;02-08-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10028;P05388;31-05-2012;Publieke Ruimte;Investeringsproject;Merksem;Noord;Rodeloopstraat, Runcvoortpark (Inkom Masterplan Groen Hart);Aanleg groenzone, Aanleg verlichting, Rioleringswerken, Wegeniswerken;DISTRICT MERKSEM ;Lindsey Pauwels;Jan Pirenne;Eric Van Gastel;DISTRICT MERKSEM ;district Merksem,1SME06,1SME0602,1SME060202/ district Merksem,1SME06,1SME0604,1SME060401;PRIORITEIT UITVOERING 2014;643.217,19;Op Schema;Afgesloten;Uitvoering intern;;Voltooid;;Ja;2014;Intern;Extra small;30-06-2012;18-10-2012;20-12-2012;Intern;Onderhandeling met bekendmaking;11-03-2013;17-04-2014;17-04-2014;06-10-2014;30-09-2014;14-04-2015;21-05-2015;30-08-2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWOU10029;;01-06-2012;Publieke Ruimte;Investeringsproject;Merksem;Noord;Recreatiedomein Distelhoek (Recreatiedomein Distelhoek fase 2: padenstructuur);Aanleg groenzone, Aanleg verlichting, Wegeniswerken;;Lindsey Pauwels;Tom Janssens;Bart Serraris;AWW/204923881;;;;Plandatum overschreden;Stopgezet;Interne gunning;Gunning, Gunning verlichting;;;;;;;;;;;;;;;;;;;17-06-2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
